FindingCode,Severity,ScopeName,RuleName,Issue,Recommendation,EstimatedMinutesToResolve,ObjectValue,DuplicateObjectNames,DuplicateCount,AnyCount,LogSetting,ProfileGroup,ShadowingRule
DUP_OBJ,low,shared,DOMLS620,Duplicate address object value detected,Review duplicate address objects and consolidate where appropriate.,5,10.68.128.25/32,DOMLS620;I5,2,,,,
DUP_OBJ,low,shared,I5,Duplicate address object value detected,Review duplicate address objects and consolidate where appropriate.,5,10.68.128.25/32,DOMLS620;I5,2,,,,
DUP_OBJ,low,shared,CTQQTDC3,Duplicate address object value detected,Review duplicate address objects and consolidate where appropriate.,5,10.68.128.14/32,CTQQTDC3;CTQDC3,2,,,,
DUP_OBJ,low,shared,CTQDC3,Duplicate address object value detected,Review duplicate address objects and consolidate where appropriate.,5,10.68.128.14/32,CTQQTDC3;CTQDC3,2,,,,
DUP_OBJ,low,shared,SERVER-NET,Duplicate address object value detected,Review duplicate address objects and consolidate where appropriate.,5,10.68.128.0/24,SERVER-NET;Server Range 10.68.128.0,2,,,,
DUP_OBJ,low,shared,Server Range 10.68.128.0,Duplicate address object value detected,Review duplicate address objects and consolidate where appropriate.,5,10.68.128.0/24,SERVER-NET;Server Range 10.68.128.0,2,,,,
DUP_OBJ,low,shared,DMZ-DC,Duplicate address object value detected,Review duplicate address objects and consolidate where appropriate.,5,10.68.56.120/32,DMZ-DC;CTQDMZDC1,2,,,,
DUP_OBJ,low,shared,CTQDMZDC1,Duplicate address object value detected,Review duplicate address objects and consolidate where appropriate.,5,10.68.56.120/32,DMZ-DC;CTQDMZDC1,2,,,,
DUP_OBJ,low,shared,CTQ_Hollywood_FL,Duplicate address object value detected,Review duplicate address objects and consolidate where appropriate.,5,10.255.201.0/24,CTQ_Hollywood_FL;OBJ-10.255.201.0,2,,,,
DUP_OBJ,low,shared,OBJ-10.255.201.0,Duplicate address object value detected,Review duplicate address objects and consolidate where appropriate.,5,10.255.201.0/24,CTQ_Hollywood_FL;OBJ-10.255.201.0,2,,,,
DUP_OBJ,low,shared,CTQQTDC1,Duplicate address object value detected,Review duplicate address objects and consolidate where appropriate.,5,10.128.1.10/32,CTQQTDC1;10.128.1.10,2,,,,
DUP_OBJ,low,shared,10.128.1.10,Duplicate address object value detected,Review duplicate address objects and consolidate where appropriate.,5,10.128.1.10/32,CTQQTDC1;10.128.1.10,2,,,,
DUP_OBJ,low,shared,ELV-RDMS-Server,Duplicate address object value detected,Review duplicate address objects and consolidate where appropriate.,5,10.214.6.2/32,ELV-RDMS-Server;ELVCR,2,,,,
